"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"771155528299012098","771155268176482304","135354872","2016-09-01 01:19:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian understandable, some high highs and low lows in that season","","","",""
"771154695368937472","771154157420027905","135354872","2016-09-01 01:16:21 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@ruthbrarian yeah it’s been a few months since starting the rewatch and I’ve been dreading it since
Ep 1","","","",""
"771153864582164480","","","2016-09-01 01:13:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Jadzia died and I wasn’t ready for it, even though I knew it was gunna happen #nerdtweets","","","",""
"770974728609751040","","","2016-08-31 13:21:13 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","""Freight commodity: RARE BOOKS RARE BOOKS RARE BOXES WITH BOOKS IN THEM"" sure something like that","","","",""
"770725027557810177","","","2016-08-30 20:49:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","It was awesome having your students visit! Can’t wait to work with them this semester! https://t.co/CLmp45TOjv","","","","https://twitter.com/marydudziak/status/770619805082775552"
"769677699895918592","","","2016-08-27 23:27:18 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @elizabethforma: A trip to Western MA wouldn't be complete without a stop for a beer at Old Forge in Lanesboro! https://t.co/PFEEPuwW03","769676445476122624","357606935","2016-08-27 23:22:19 +0000","https://twitter.com/elizabethforma/status/769676445476122624/photo/1,https://twitter.com/elizabethforma/status/769676445476122624/photo/1"
"768487492500807682","","","2016-08-24 16:37:50 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hey @AirbnbHelp, I've never linked my paypal account with you but you auto-charged me via paypal. Can you explain?","","","",""
"767750734532251648","","","2016-08-22 15:50:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Staff from @EmoryRoseMARBL + @EmoryLibraries packing the @emorywheel back to 1919 to be sent off for digitization! https://t.co/VueU8fCy9k","","","","https://twitter.com/jdbence/status/767750734532251648/photo/1,https://twitter.com/jdbence/status/767750734532251648/photo/1"
"766378103547494400","","","2016-08-18 20:55:53 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Do it, y’all https://t.co/fJkRhLfxL4","","","","https://twitter.com/stephestellar/status/766374990967177216"
"765605288556818432","765594644038180865","9278682","2016-08-16 17:44:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@chuckreece trolls gunna troll","","","",""
"765570997315600384","765567469557690370","430390079","2016-08-16 15:28:44 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kwbfan sure showed me…","","","",""
"765564891977682944","765562017407041537","430390079","2016-08-16 15:04:28 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kwbfan well, not true. Two ppl told me they liked it. And you gave a fuck enough to troll this tweet days later, so… ✌🏻️","","","",""
"764200692252676096","764187087234928641","30967377","2016-08-12 20:43:37 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@kstatelibraries yes!","","","",""
"764197834476425217","","","2016-08-12 20:32:16 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Wearing my ‘Vote @BitterSouth’ tshirt in Portland ME and I’m not sure if people know how to handle it","","","",""
"763729870027362304","763725617648906240","850346124","2016-08-11 13:32:45 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@AmyHildrethChen ours is closed all summerrrrrrrrrr 😞😞😞😞","","","",""
"763720297149267968","","","2016-08-11 12:54:42 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","The airport employee escorting two kids to AA flight #1982 at @CLTAirport is a saint! They are… a handful 🙃","","","",""
"763524917027598337","763508347316363266","69285381","2016-08-10 23:58:20 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@tzanish yes! And they’re meeting in Atlanta! But very hist. oriented, want more lib/archives","","","",""
"763466589735903232","","","2016-08-10 20:06:34 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Just spotted: the phrase ""The World as Archive""... uh no","","","",""
"763465514828070912","","","2016-08-10 20:02:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Are there conferences/workshops in history of science/health/technology that an archivist should be going to?","","","",""
"762818030816624646","762750749956767744","28834648","2016-08-09 01:09:25 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@groakus I saw this in 2015 and forgot to check on it this year. Bookmarked for next year!","","","",""
"762783144047153153","762780232763965440","17315836","2016-08-08 22:50:48 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@archivesnext glad he liked it! I was hoping Atlanta made a good impression on ppl. And, hope to see you before too long somewhere!","","","",""
"762779667699040256","762772921051975681","17315836","2016-08-08 22:36:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@archivesnext ahhh I see, and now we all know each other! track me down he did, and I hope good things come of it!","","","",""
"762732114961924100","","","2016-08-08 19:28:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Of #saa16 tweets, SEIU has been topping my list of the best ones! 🙌 https://t.co/gZqIpwnC3K","","","","https://twitter.com/SEIUArchivist/status/762632381052452864"
"762713717352062977","762675133857214471","850346124","2016-08-08 18:14:55 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@AmyHildrethChen Comment comment comment!","","","",""
"762677530763681793","","","2016-08-08 15:51:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ATLStudies: New on ATLS: a new ATLMaps layer based on 19th and early 20th century city guidebooks https://t.co/BA6yepREyB","762656934520553473","2394933618","2016-08-08 14:29:17 +0000","https://scholarblogs.emory.edu/atlantastudies/2016/08/04/atlanta-guidebooks-a-new-atlmaps-layer/,https://scholarblogs.emory.edu/atlantastudies/2016/08/04/atlanta-guidebooks-a-new-atlmaps-layer/"
"762673397306458112","","","2016-08-08 15:34:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hey #archivists, comment on the draft standard for public services metrics by 8/22! #saa16 #saaleftbehind https://t.co/28ag8u9fqs","","","","http://www2.archivists.org/groups/saa-acrlrbms-joint-task-force-on-public-services-metrics/new-standard-for-measuring-public-se"
"762636959923724288","762636730415640576","15274817","2016-08-08 13:09:55 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@lemurchild seconded!","","","",""
"762632620542922752","","341094776","2016-08-08 12:52:40 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@michaelvite that's awesome, Mike!","","","",""
"762110436296708096","","","2016-08-07 02:17:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Llama farmer
Retail, art museum gift shop
Circulation desk 
Archives assistant (x2)
Museum ‘interpreter’
Temp (x10472849)
#first7jobs","","","",""
"762108302587289601","762107824289771524","103920297","2016-08-07 02:09:13 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@stephestellar @barkivist seconded!","","","",""
"762108144629809152","762020065730584580","523348157","2016-08-07 02:08:35 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@SAA_CarlosS I got my dream location this year, so I’ll throw one in for Minneapolis","","","",""
"762106639063416832","762040289288720385","19409278","2016-08-07 02:02:36 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@barkivist sad we never got to chat!","","","",""
"761992747595231232","761990925354569728","759922261","2016-08-06 18:30:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@K8_Bowers #buzzkill","","","",""
"761986950714757120","","","2016-08-06 18:07:00 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Proof that some archivists from #saa16 took my recommendation in the program to get a comfy chicken biscuit! https://t.co/JCMtYiqqt5","","","","http://twitter.com/jdbence/status/761986950714757120/photo/1"
"761946678236684288","761946154078707712","68027928","2016-08-06 15:26:59 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@adrienhilton I second that emotion","","","",""
"761905286072369153","","","2016-08-06 12:42:30 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Goooooooood morning #saa16 😴😃😴😃","","","",""
